"agent","run","cache_hit_ratio"
"Planner",1,0.920053650646918
"Planner",2,0.798112991122218
"Planner",3,0.815699762134759
"Planner",4,0.825569746710212
"Planner",5,0.806026433060818
"Planner",6,0.806845201917016
"Planner",7,0.866184876910169
"Planner",8,0.83590656709395
"Planner",9,0.845343016919878
"Planner",10,0.916649233756528
"Executor",1,0.451419173819741
"Executor",2,0.593005106987843
"Executor",3,0.566887115559373
"Executor",4,0.449441232408311
"Executor",5,0.543764024008596
"Executor",6,0.458060830679302
"Executor",7,0.376371956614873
"Executor",8,0.411560302027768
"Executor",9,0.429710654663946
"Executor",10,0.489289848969997
"Expresser",1,0.717788766183083
"Expresser",2,0.711740382390748
"Expresser",3,0.738768412436526
"Expresser",4,0.617540170253322
"Expresser",5,0.737281258891486
"Expresser",6,0.68828867470561
"Expresser",7,0.713852595308302
"Expresser",8,0.706628527360823
"Expresser",9,0.635762633190304
"Expresser",10,0.66757712201996
"Reviewer",1,0.745165959097256
"Reviewer",2,0.80874842212337
"Reviewer",3,0.784426115110773
"Reviewer",4,0.776861329281132
"Reviewer",5,0.76318038162632
"Reviewer",6,0.757514964948589
"Reviewer",7,0.819900537790212
"Reviewer",8,0.735794797647469
"Reviewer",9,0.774308486769017
"Reviewer",10,0.792599796195517
